.,Year,Report Edition,SHA Miles,State Controlled Lane Miles,Capital Disbursements,Maintenence Disbursements,Administrative Disbursements,Total Disbursements,"Rural Interstate Poor Condition, Number of Miles, IRI > 170",Rural Interstate Total Miles Measured,"Rural Other Principal Arterial Poor Condition Miles, IRI> 220","Rural Other Principal Arterial, Total ","Urban Interstate Poor Condition Miles, IRI > 170",Urban Interstate Total Reported,"Urban Other Principal Arterial, Miles less than <220","Urban Other Principal Arterial, Total",Total Fatalities,Rural - I - OFE - OPA - Total Fatalities,Urban - I - OFE - OPA Total Fatalities,Total VMT,Rural VMT,Urban VMT,Highway Bridges,Deficient Bridges,Structurally Deficient Bridges,Congestion Metric Type ,Congestion Metric Reported
Rhode Island,2018,,"1,201","3,124","258,238","109,556","35,253","482,859",0,18,13,96,1,52,104,324,59,8,30,"8,009",608,"5,046",780,,180,Hours Lost to Congestion,4600.00%
South Caroli,2018,,"41,379","90,706","1,217,025","397,504","132,088","1,911,718",4,546,19,"1,546",8,304,49,"1,064","1,037",282,200,"56,801","13,126","17,140","9,401",,795,Hours Lost to Congestion,1500.00%
South Dakota,2018,,"9,524","22,056","217,789","88,662","72,763","418,342",4,591,28,"2,570",2,88,8,129,130,61,6,"9,719","4,063","1,363","5,824",,973,Hours Lost to Congestion,2300.00%
Tennessee,2018,,"14,352","38,585","1,124,711","389,467","240,998","1,791,182",4,644,6,"1,686",11,557,83,"1,835","1,041",142,295,"81,321","13,312","31,574","20,177",,871,Hours Lost to Congestion,2400.00%
Texas,2018,,"80,861","197,520","8,207,169","2,040,850","390,720","13,186,655",15,"2,000",35,"8,370",55,"1,453","1,019","6,101","3,642",684,"1,373","282,037","44,358","129,213","54,131",,695,Hours Lost to Congestion,4100.00%
Utah,2018,,"6,278","16,879","880,398","251,316","91,928","1,726,315",3,684,7,"1,162",5,253,22,648,260,58,117,"32,069","5,469","14,456","3,061",,66,Hours Lost to Congestion,600.00%
Vermont,2018,,"2,628","5,999","209,814","113,668","70,309","471,039",1,255,9,329,0,64,11,124,68,17,3,"7,346","2,023","1,207","2,778",,66,Hours Lost to Congestion,3000.00%
Virginia,2018,,"59,068","128,481","2,553,033","1,718,871","493,724","6,492,794",2,598,5,"1,633",15,521,74,"1,332",820,153,173,"85,336","16,393","35,346","13,931",,646,Hours Lost to Congestion,4400.00%
Washington,2018,,"15,540","40,680","1,749,709","1,274,570","362,573","4,115,828",27,429,17,"1,313",21,335,309,"1,422",546,101,182,"62,367","9,296","28,508","8,278",,382,Hours Lost to Congestion,3900.00%
West Virginia,2018,,"34,690","71,592","1,877,397","232,122","65,023","2,309,471",8,319,20,994,10,235,20,396,294,60,64,"19,447","4,703","5,963","7,269",,"1,444",Hours Lost to Congestion,1000.00%
Wisconsin,2018,,"11,743","29,739","973,102","275,013","180,865","2,526,919",18,512,50,"2,871",21,363,328,"1,927",588,138,106,"65,885","14,282","21,036","14,275",,"1,054",Hours Lost to Congestion,2200.00%
Wyoming,2018,,"7,241","16,949","346,583","96,139","30,189","512,894",10,807,7,"1,977",89,243,163,382,111,72,6,"10,438","4,250","1,410","3,129",,257,Hours Lost to Congestion,800.00%
Alabama,2019,26th,"11,079","29,614","1,387,759","204,894","336,541","2,191,890",8,571,22,"2,030",27,432,52,"1,293",930,206,207,"71,735","12,342","19,750","16,162",,654,Hours Lost in Congestion,
Alaska,2019,26th,"9,155","11,742","767,574","265,310","45,613","1,158,736",81,991,76,501,1,79,5,140,67,23,20,"5,881","1,142","1,722","1,595",,145,Hours Lost in Congestion,
Arizo,2019,26th,"11,319","19,965","1,375,627","161,453","224,330","2,157,099",20,910,15,"1,222",5,249,35,632,981,157,369,"70,281","10,971","24,418","8,320",,137,Hours Lost in Congestion,
Arkansas,2019,26th,"29,772","38,031","919,783","207,470","39,207","1,346,667",10,439,21,"1,877",19,310,40,615,505,173,111,"37,099","8,399","10,403","12,902",,626,Hours Lost in Congestion,
California,2019,26th,"15,962","52,144","4,513,968","2,331,366","580,307","10,789,827",37,"1,213",43,"3,280",100,"1,238","1,909","6,232","3,606",488,"1,522","340,836","34,311","189,719","25,771",,"1,797",Hours Lost in Congestion,
Colorado,2019,26th,"9,888","22,965","1,051,281","534,394","222,838","1,941,784",40,648,25,"2,568",18,304,127,"1,068",596,121,216,"54,634","9,764","25,182","8,785",,466,Hours Lost in Congestion,
Connecticut,2019,26th,"4,053","9,831","928,035","266,426","79,535","2,023,243",0,29,2,122,4,318,81,712,249,5,99,"31,601","1,243","17,928","4,336",,275,Hours Lost in Congestion,
Delaware,2019,26th,"5,528","11,970","591,785","450,218","357,476","1,780,374",0,-,0,99,4,38,12,211,132,20,30,"10,245","1,098","4,556",879,,28,Hours Lost in Congestion,
Florida,2019,26th,"12,219","44,876","6,509,736","1,495,838","450,415","10,886,766",3,717,9,"2,613",22,778,76,"3,881","3,183",417,"1,303","226,514","22,362","94,497","12,518",,361,Hours Lost in Congestion,
Georgia,2019,26th,"18,835","49,357","1,564,658","616,874","484,060","3,306,642",7,537,5,"2,427",19,710,40,"2,351","1,491",163,486,"133,128","14,528","47,122","14,940",,441,Hours Lost in Congestion,
Hawaii,2019,26th,"1,016","2,472","243,071","60,106","18,764","384,959",0,-,6,78,13,55,49,268,108,17,50,"11,024",350,"4,681","1,138",,80,Hours Lost in Congestion,
Idaho,2019,26th,"16,964","12,314","602,942","112,824","32,451","843,288",4,519,5,"1,419",1,92,15,238,224,82,32,"18,058","5,362","4,163","4,493",,295,Hours Lost in Congestion,
Illinois,2019,26th,"16,732","42,154","3,146,026","928,708","179,114","5,206,962",22,"1,243",53,"2,360",60,939,322,"2,878","1,009",114,329,"107,525","13,387","45,692","26,825",,"2,407",Hours Lost in Congestion,
India,2019,26th,"11,692","28,602","1,554,090","919,218","106,962","2,706,417",32,784,12,"1,960",31,491,122,"1,749",809,193,143,"82,719","14,456","23,620","19,284",,"1,166",Hours Lost in Congestion,
Iowa,2019,26th,"9,511","22,889","1,011,405","227,049","68,947","1,452,777",6,610,49,"3,383",7,175,93,890,336,96,40,"33,537","11,559","7,271","24,043",,"4,575",Hours Lost in Congestion,
Kansas,2019,26th,"10,582","24,017","445,765","191,848","80,775","1,206,931",5,640,9,"2,628",9,234,21,305,411,164,50,"31,843","8,336","7,336","24,934",,"1,280",Hours Lost in Congestion,
Kentucky,2019,26th,"28,242","62,232","1,293,161","486,934","34,405","2,253,081",8,711,5,"1,232",7,232,28,640,732,142,122,"49,410","13,573","12,326","14,394",,"1,042",Hours Lost in Congestion,
Louisia,2019,26th,"44,093","39,040","886,746","433,915","53,776","1,631,884",18,520,26,973,49,395,134,843,727,113,167,"51,360","9,560","17,558","12,884",,"1,701",Hours Lost in Congestion,
Maine,2019,26th,"8,634","17,478","486,290","251,308","22,799","859,996",7,279,48,791,1,87,15,129,157,33,9,"14,871","4,026","2,114","2,461",,314,Hours Lost in Congestion,
Maryland,2019,26th,"5,493","14,926","1,520,245","420,904","118,806","3,188,653",2,142,3,321,23,338,166,"1,019",521,27,229,"60,216","4,765","33,577","5,402",,273,Hours Lost in Congestion,
Massachusetts,2019,26th,"3,630","9,568","877,552","313,006","167,507","3,310,018",2,63,1,105,14,502,465,"1,945",334,6,164,"64,890","1,258","36,724","5,233",,469,Hours Lost in Congestion,
Michigan,2019,26th,"9,668","27,372","1,453,437","379,062","127,196","2,533,199",18,558,15,"2,130",55,673,397,"2,340",985,86,307,"102,174","12,967","41,842","11,244",,"1,217",Hours Lost in Congestion,
Minnesota,2019,26th,"13,713","29,222","1,197,615","558,585","181,153","2,354,155",14,588,37,"3,433",19,325,28,606,364,68,53,"60,731","11,362","18,097","13,346",,631,Hours Lost in Congestion,
Mississippi,2019,26th,"11,029","28,273","708,631","124,291","60,441","1,031,193",10,578,17,"1,783",9,253,98,951,643,152,93,"41,091","10,164","10,088","17,019",,"1,484",Hours Lost in Congestion,
Missouri,2019,26th,"34,000","77,701","805,193","513,233","182,531","2,157,743",5,842,9,"1,880",15,538,75,866,880,160,240,"79,168","15,633","25,706","24,494",,"2,147",Hours Lost in Congestion,
Monta,2019,26th,"15,265","25,188","528,455","134,321","44,141","784,116",11,"1,094",41,"2,774",2,98,37,257,184,81,8,"12,892","5,272","1,897","5,278",,380,Hours Lost in Congestion,
Nebraska,2019,26th,"10,079","22,559","483,546","224,838","19,203","816,022",8,415,35,"2,289",2,69,89,317,248,103,39,"21,242","6,344","4,975","15,332",,"1,356",Hours Lost in Congestion,
Nevada,2019,26th,"5,394","13,505","690,578","156,288","183,901","1,216,101",3,457,1,"1,519",3,163,18,378,304,93,78,"28,794","4,047","10,069","2,029",,26,Hours Lost in Congestion,
New Hampshire,2019,26th,"4,007","8,422","273,146","110,295","109,401","599,768",0,142,5,323,0,83,19,223,101,32,16,"13,828","2,362","4,809","2,502",,213,Hours Lost in Congestion,
New Jersey,2019,26th,"3,149","8,563","2,944,934","742,395","173,908","9,729,749",0,45,10,160,39,387,416,"1,799",559,18,276,"78,205","2,412","45,122","6,786",,529,Hours Lost in Congestion,
New Mexico,2019,26th,"20,414","29,462","435,393","52,738","314,077","975,017",17,843,21,"1,916",5,156,98,701,424,142,125,"27,772","8,178","7,204","4,013",,220,Hours Lost in Congestion,
New York,2019,26th,"16,859","38,298","3,937,980","1,920,550","464,851","14,306,404",21,798,32,"2,068",86,920,714,"3,063",931,106,283,"123,986","10,835","58,261","17,540",,"1,745",Hours Lost in Congestion,
North Caroli,2019,26th,"81,216","173,257","4,844,323","1,272,829","374,775","7,141,616",7,559,6,"1,555",14,778,94,"1,905","1,373",188,286,"122,475","15,947","42,617","18,407",,"1,714",Hours Lost in Congestion,
North Dakota,2019,26th,"7,410","17,238","376,287","30,940","20,294","464,436",2,510,27,"2,945",0,61,19,207,100,28,7,"9,826","3,843","1,436","4,329",,462,Hours Lost in Congestion,
Ohio,2019,26th,"20,385","49,631","1,970,380","480,042","612,521","3,990,755",12,643,10,"1,523",41,931,404,"2,440","1,153",122,269,"114,694","15,631","46,011","27,167",,"1,457",Hours Lost in Congestion,
Oklahoma,2019,26th,"13,477","30,530","1,360,030","703,103","247,262","2,694,756",16,631,54,"2,218",17,272,69,738,640,150,121,"44,648","10,813","14,086","23,138",,"2,352",Hours Lost in Congestion,
Oregon,2019,26th,"9,073","18,379","924,356","291,763","159,947","2,001,116",3,495,13,"2,644",7,234,58,847,489,122,115,"35,808","8,331","12,845","8,211",,426,Hours Lost in Congestion,
Pennsylvania,2019,26th,"41,756","88,261","3,817,048","1,794,855","945,086","9,031,685",26,"1,066",22,"1,578",62,797,382,"2,868","1,059",130,300,"102,864","17,297","40,762","22,911",,"3,501",Hours Lost in Congestion,
Rhode Island,2019,26th,"1,196","2,805","356,087","113,401","35,653","631,456",0,18,11,97,1,52,102,331,57,1,32,"7,581",606,"4,641",779,,174,Hours Lost in Congestion,
South Caroli,2019,26th,"41,313","90,533","1,903,048","385,182","126,634","2,487,783",23,546,16,"1,542",11,304,56,"1,060","1,001",294,182,"57,939","13,430","17,627","9,419",,795,Hours Lost in Congestion,
South Dakota,2019,26th,"9,147","17,954","245,906","98,602","113,589","496,054",3,589,29,"2,579",2,88,8,128,102,35,6,"9,922","4,156","1,407","5,821",,991,Hours Lost in Congestion,
Tennessee,2019,26th,"14,420","37,721","1,172,329","403,701","235,296","1,846,165",5,645,7,"1,723",10,557,85,"1,836","1,135",155,355,"82,892","13,740","32,348","20,226",,887,Hours Lost in Congestion,
Texas,2019,26th,"80,993","197,850","9,622,499","2,101,734","432,230","14,869,066",15,"1,998",40,"8,342",50,"1,456",860,"6,119","3,615",608,"1,316","288,227","45,168","132,115","54,432",,725,Hours Lost in Congestion,
Utah,2019,26th,"6,265","16,001","938,924","258,207","67,478","1,677,547",2,685,5,"1,163",4,253,20,654,248,88,82,"32,911","5,570","14,741","3,063",,66,Hours Lost in Congestion,
Vermont,2019,26th,"2,628","5,998","194,913","117,302","81,241","473,140",1,255,5,328,1,64,7,122,47,8,2,"7,346","2,038","1,177","2,818",,68,Hours Lost in Congestion,
Virginia,2019,26th,"59,155","128,623","1,530,009","1,769,492","478,453","4,497,796",2,598,4,"1,633",14,521,82,"1,350",831,171,169,"85,432","16,557","34,987","13,933",,607,Hours Lost in Congestion,
Washington,2019,26th,"15,542","18,447","1,807,166","1,048,661","299,185","3,741,480",23,429,16,"1,313",12,335,246,"1,414",519,98,123,"62,530","9,349","28,547","8,300",,384,Hours Lost in Congestion,
West Virginia,2019,26th,"34,702","71,044","910,892","334,687","66,194","1,483,700",7,319,41,"1,010",11,235,33,373,260,63,44,"19,077","4,556","5,945","7,291",,"1,531",Hours Lost in Congestion,
Wisconsin,2019,26th,"11,745","29,752","1,384,617","349,633","180,214","2,539,117",12,513,49,"2,867",16,364,321,"1,906",566,126,103,"66,348","14,158","21,138","14,249",,"1,026",Hours Lost in Congestion,
Wyoming,2019,26th,"7,238","15,779","374,234","106,393","42,152","564,377",8,807,14,"1,963",5,106,18,217,147,85,9,"10,208","4,436","1,363","3,114",,215,Hours Lost in Congestion,
